junction,responsible_station,distance_km
OldMadrasRd-80FeetRdJunc,Indira Nagar Police Station,0.82
OldMadrasRd-BMTC DepotJunc,Indira Nagar Police Station,0.33
OldMadrasRd-DoubleRdJunc,Indira Nagar Police Station,0.1
OldMadrasRd-Indranagar100ftRdJunc,Indira Nagar Police Station,0.32
OldMadrasRd-NGEF Junc,Baiyyapannahalli Police Station,1.12
OldMadrasRd-SuddaguntepalyaRdJunc,Baiyyapannahalli Police Station,0.44
OldPoliceStation-Ashoknagar,Ashok Nagar Police Station,0.56
OperaHouseJunc,Ashok Nagar Police Station,0.34
PES-DevegowdaCircle,Girinagar Police Station,1.17
Peenya14thCrossJunc,Peenya Police Station,2.74
Peenya2ndStageBusStand,Byadarahalli Police Station,3.0
PeenyaPoliceStation,Peenya Police Station,0.19
PlatformRdJunction,Seshadripuram Police Station,0.84
PoliceCornerJunc,Police Headquarters,0.12
PoliceTimmaiahCircle(GPO),Cyber Crime Police Station,0.21
PotteryCircle,Pulakeshi Nagar Police Station,0.86
PrasannaJunction,Magadi Road Police Station,0.27
"PriyadarshiniHotel,Jayamahal,RT Nagar",JC Nagara Police Station,0.44
PurnimaTheaterJunc,S.J. Park Police,0.5
PuttammaChoultryNagarbhavi,Traffic Police Station,0.36
QueensStatueCircle,Cubbon Park Police Station,0.14
RRR(Okalipuram)Junction,Srirampura Police Station,0.9
Rajajinagagr1stBlockJunction,Mahalakshmipuram Police Station,0.29
Rajajinagar19thMainJunc,Rajaji Nagar Police Station,0.48
RajajinagarEntranceJunction,Srirampura Police Station,1.02
RajarajeshwariKalyanaMantapaJunc,Rajaji Nagar Police Station,0.01
RajeshwariJunc,Rajarajeshwari Nagar Police Station,2.65
RamaiahCircle-UlsoorPoliceStation,Halasuru Police Station,0.13
RamamurthyNagarJunction,Ramamurthy Nagar Police Station,1.32
Richmond circle jn,Sampangi Rama Nagar Police Station,0.5
Ring road-Near Kengunte Junction,Chandra Layout Police Station,2.65
RingRoad-UllalJunction,Chandra Layout Police Station,3.21
RoyanCircle-Chamrajpete,Chamarajapet Police Station,0.26
SRS Peenya Junc,Peenya Police Station,0.95
SadahalliGateJunc(AirportRd),Yelahanka Police Station,11.96
SadashivnagarJunc,Sadhashivanagar Police Station,0.02
SafinaPlazaJunc,Commercial Street Police Station,0.27
SagarHospitalJunc,Tilaknagar Police Station,1.07
SagarTheatreJunc,Upparpet Traffic Police Station,0.41
SandeepUnnikrishnan-Yelhanka,Office of the Assisstant Commisioner of the Police,0.26
